id,predicted
0,0.84952503
2,0.57220584
4,0.22581682
7,0.2846997
15,0.2510525
26,0.06123986
44,0.7185663
45,0.04003325
57,0.8596657
66,0.03388588
77,0.38688025
79,0.7526111
86,0.6513448
89,0.16276002
90,0.32175454
105,0.018436575
120,0.017618345
123,0.038336273
125,0.88956875
129,0.34300536
143,0.029509062
151,0.09352107
153,0.10735102
154,0.8813143
157,0.2700324
167,0.073749855
170,0.14522666
171,0.09134266
177,0.6883141
181,0.7654322
187,0.6954015
193,0.05324041
194,0.0680983
199,0.7112962
201,0.29045394
212,0.86891
219,0.24271128
220,0.136794
222,0.44376168
224,0.7081868
225,0.8168517
227,0.04782704
232,0.06852852
247,0.018515233
248,0.7992303
262,0.23805882
269,0.041748
272,0.8318634
278,0.86239666
290,0.47590113
291,0.038721062
296,0.028157685
307,0.731288
309,0.017710634
310,0.81059945
316,0.09053131
324,0.88736904
326,0.044269696
341,0.66168934
365,0.8815005
371,0.17008817
376,0.7107676
380,0.0779309
388,0.12026185
389,0.041567437
412,0.86219645
413,0.73728365
416,0.33671993
420,0.33614993
427,0.13268371
429,0.7683362
446,0.050038427
448,0.044028085
454,0.3359132
466,0.18507762
472,0.04478211
502,0.16143721
511,0.5771464
520,0.21992485
530,0.54002416
541,0.28314978
544,0.8070266
547,0.58202314
548,0.13169608
557,0.6474846
561,0.11640643
563,0.59618866
572,0.44685256
581,0.8903811
583,0.7709309
587,0.13318539
588,0.018622763
591,0.099247254
640,0.8788905
649,0.62407094
656,0.74767166
675,0.80849075
688,0.032037593
708,0.65619993
729,0.19398402
735,0.88263416
744,0.028356696
748,0.23916486
751,0.3118835
756,0.5534894
762,0.114204034
764,0.8360754
773,0.06610013
779,0.03543093
791,0.84087247
802,0.26632297
805,0.01745115
807,0.20606199
819,0.062423524
828,0.21216927
831,0.22078937
836,0.6968539
845,0.8890004
859,0.8757822
869,0.6995671
874,0.21307823
875,0.017360486
877,0.66804403
885,0.05623602
899,0.22166675
901,0.34670496
902,0.06499812
912,0.17719609
916,0.036582142
932,0.031869538
934,0.59942627
942,0.7752317
946,0.30661982
972,0.040008206
1006,0.09416419
1019,0.31334504
1045,0.56790304
1046,0.888414
1054,0.05724826
1075,0.034126632
