Variavel cod,Variavel tipo
id,Qualitativo nominal
var1,Qualitativo nominal
var2,Qualitativo nominal
var3,Qualitativo nominal
var4,Qualitativo nominal
var5,Qualitativo nominal
var6,Qualitativo nominal
var7,Qualitativo nominal
var8,Qualitativo nominal
var9,Qualitativo nominal
var10,Qualitativo nominal
var11,Qualitativo nominal
var12,Qualitativo nominal
var13,Qualitativo nominal
var14,Qualitativo nominal
var15,Qualitativo nominal
var16,Qualitativo nominal
var17,Qualitativo nominal
var18,Qualitativo nominal
var19,Qualitativo nominal
var20,Qualitativo nominal
var21,Qualitativo nominal
var22,Qualitativo nominal
var23,Qualitativo nominal
var24,Quantitativo discreto
var25,Quantitativo discreto
var26,Qualitativo ordinal
var27,Quantitativo discreto
var28,Qualitativo nominal
var29,Qualitativo nominal
var30,Qualitativo nominal
var31,Qualitativo nominal
var32,Qualitativo ordinal
var33,Qualitativo nominal
var34,Qualitativo nominal
var35,Qualitativo nominal
var36,Qualitativo nominal
var37,Qualitativo nominal
var38,Qualitativo nominal
var39,Qualitativo nominal
var40,Quantitativo discreto
var41,Qualitativo nominal
var42,Qualitativo ordinal
var43,Qualitativo ordinal
var44,Quantitativo discreto
var45,Quantitativo discreto
var46,Quantitativo discreto
var47,Quantitativo discreto
var48,Quantitativo discreto
var49,Quantitativo discreto
var50,Quantitativo discreto
var51,Quantitativo discreto
var52,Quantitativo discreto
var53,Quantitativo discreto
var54,Quantitativo discreto
var55,Quantitativo continua
var56,Quantitativo continua
var57,Quantitativo continua
var58,Quantitativo continua
var59,Quantitativo continua
var60,Quantitativo continua
var61,Quantitativo continua
var62,Quantitativo continua
var63,Quantitativo continua
var64,Quantitativo continua
var65,Quantitativo continua
var66,Quantitativo continua
var67,Quantitativo discreto
var68,Quantitativo discreto
y,Quantitativo discreto
