id,lightautoml_pseudo_oof
1,0.8480364
8,0.04618543
30,0.2897531
43,0.11325632
46,0.8767368
65,0.030924901
69,0.5824484
84,0.026373317
97,0.3083532
99,0.07780836
102,0.08959615
115,0.8599467
119,0.04823247
126,0.028938124
132,0.07820277
145,0.7523109
146,0.3199552
149,0.056556083
160,0.22760564
161,0.41179043
197,0.65870905
206,0.10307742
235,0.047688518
239,0.84044987
242,0.58004475
244,0.12501702
266,0.036033913
286,0.36024565
298,0.34559512
314,0.04090959
317,0.85809076
327,0.029515637
337,0.0159753
344,0.050506927
355,0.06290808
358,0.013434062
383,0.040604863
390,0.48554993
391,0.053697277
410,0.18895741
415,0.3455718
418,0.6667086
424,0.1083303
426,0.8970109
431,0.1306425
433,0.6742352
441,0.6889303
444,0.2085588
457,0.7180921
460,0.27368483
495,0.3733349
497,0.076992825
505,0.04988809
512,0.26929337
515,0.34687665
518,0.1326743
533,0.0772611
536,0.18011612
537,0.12694311
538,0.03586727
564,0.096377514
567,0.86883664
570,0.017864062
578,0.019366104
585,0.02028006
621,0.20202166
622,0.7843567
633,0.79634297
654,0.015960427
660,0.8782253
662,0.07249302
665,0.274817
670,0.06668388
685,0.7797805
687,0.044503972
695,0.26224753
711,0.018939994
740,0.19780725
765,0.86689025
767,0.8615868
769,0.06623926
771,0.015479191
772,0.8563813
782,0.21269388
783,0.038252562
785,0.03185305
797,0.016697727
800,0.13088313
814,0.64284617
820,0.21793266
838,0.8127879
843,0.3325727
863,0.029881865
884,0.623545
893,0.037389748
914,0.033411685
920,0.8833088
924,0.050404698
925,0.06421454
931,0.5223503
943,0.5619164
966,0.013775766
971,0.36205193
973,0.29246038
977,0.17516984
980,0.08753882
987,0.8288834
999,0.27002135
1001,0.871649
1015,0.6909212
1018,0.09778794
1035,0.07744811
1038,0.37588197
1055,0.8396224
1066,0.40759185
1068,0.87627035
1079,0.02714779
1100,0.7972719
1102,0.26862112
1103,0.8341487
1134,0.05777981
1172,0.039781623
1201,0.077345006
1210,0.6676731
1211,0.4915406
1225,0.02235861
1241,0.64059395
1245,0.034043483
1250,0.8803693
1277,0.8739653
1283,0.87708914
1290,0.26215878
1297,0.031120317
1300,0.4689452
1321,0.074918516
1326,0.73611397
1361,0.023684584
1363,0.41881433
1374,0.11135902
1390,0.8985451
1392,0.31871605
1405,0.71359754
1411,0.32613006
1417,0.020893775
1442,0.027184693
1464,0.76842767
1507,0.12914322
1520,0.52689207
1522,0.7002927
1544,0.05746357
1564,0.19885121
1572,0.08272755
1625,0.16946489
1628,0.31281394
1647,0.06306427
1651,0.17407595
1658,0.04837847
1670,0.09152225
1684,0.04805912
1702,0.09782015
1719,0.01637899
1731,0.029910345
1732,0.096009396
1739,0.23925893
1750,0.46123612
1759,0.8721926
1774,0.88490856
1797,0.14755227
1803,0.8719114
1826,0.28867584
1831,0.3545541
1880,0.018396955
1884,0.82321614
1887,0.022793269
1890,0.017959287
1895,0.033808295
1909,0.01657599
1919,0.24999216
1931,0.6183865
1939,0.5181557
1950,0.054702558
1952,0.05135044
1959,0.10450038
