id,predicted
0,0.8604118
2,0.5595131
4,0.24614984
7,0.3251078
15,0.28540656
26,0.07062953
44,0.6609527
45,0.046695396
57,0.8615153
66,0.035115357
77,0.32725558
79,0.7278284
86,0.63947
89,0.1537427
90,0.31320888
105,0.020966034
120,0.018249644
123,0.04445171
125,0.8904928
129,0.41137296
143,0.031229433
151,0.113591895
153,0.106969774
154,0.8880751
157,0.2678399
167,0.07981789
170,0.1567955
171,0.092529535
177,0.64275926
181,0.71091896
187,0.6411024
193,0.049371324
194,0.073940456
199,0.75174904
201,0.28454876
212,0.868334
219,0.2948409
220,0.13703679
222,0.39753562
224,0.6805601
225,0.7113148
227,0.05704242
232,0.066537745
247,0.021775968
248,0.7189108
262,0.25800535
269,0.047210205
272,0.8060062
278,0.85659605
290,0.46993792
291,0.04799918
296,0.030163174
307,0.66116977
309,0.02036735
310,0.8333907
316,0.09681897
324,0.89114034
326,0.050938234
341,0.6251606
365,0.8792506
371,0.15928659
376,0.7138977
380,0.06792357
388,0.12318392
389,0.044185974
412,0.8397932
413,0.72045815
416,0.33993292
420,0.34649336
427,0.11935335
429,0.7361833
446,0.05430816
448,0.0522819
454,0.37927943
466,0.18645054
472,0.058424324
502,0.1989446
511,0.56579065
520,0.23454076
530,0.4604422
541,0.28953186
544,0.7926587
547,0.5424826
548,0.13524422
557,0.6578049
561,0.10630819
563,0.5082346
572,0.44170398
581,0.887735
583,0.70602274
587,0.17726582
588,0.02029752
591,0.0944794
640,0.85309947
649,0.5628166
656,0.7265582
675,0.7509531
688,0.042160034
708,0.6010859
729,0.19036873
735,0.8879046
744,0.0336103
748,0.27268475
751,0.31739908
756,0.54337907
762,0.1264496
764,0.8373852
773,0.06766136
779,0.042278953
791,0.85349405
802,0.28484142
805,0.020188684
807,0.20715034
819,0.06464965
828,0.19236857
831,0.2315232
836,0.6806239
845,0.8904482
859,0.87078935
869,0.6442776
874,0.2235271
875,0.019580513
877,0.6143036
885,0.06372462
899,0.23208296
901,0.3057294
902,0.07594563
912,0.13887809
916,0.03782058
932,0.03670888
934,0.5942073
942,0.73951316
946,0.3818316
972,0.052069537
1006,0.10628302
1019,0.26976928
1045,0.65659416
1046,0.8757313
1054,0.06521595
1075,0.037329666
1076,0.061701585
1086,0.15465236
1091,0.04834465
1093,0.019898118
1097,0.8661301
1101,0.42134833
1127,0.880628
1137,0.09369333
1145,0.7487629
1157,0.107355714
1197,0.8864773
1209,0.07709928
1212,0.8806256
1219,0.09107041
1231,0.25659835
1260,0.88753444
1262,0.89569694
1263,0.8368423
1275,0.13624626
1282,0.22915867
1284,0.30626875
1286,0.48199838
1288,0.22946666
1309,0.90194225
1327,0.8813087
1329,0.46751183
1330,0.03793089
1340,0.034786366
1353,0.13344139
1358,0.024637925
1367,0.6975298
1373,0.032042664
1386,0.18530971
1388,0.19286117
1397,0.17172341
1413,0.047233388
1432,0.03391491
1443,0.5423235
1445,0.8455603
1458,0.032775443
1473,0.6992897
1475,0.04464537
1480,0.6320931
1489,0.85273844
1535,0.05386591
1539,0.6563138
1541,0.82979393
1543,0.02189289
1546,0.24808666
1567,0.86114705
1592,0.47753584
1599,0.021432683
1606,0.11293502
1620,0.39717513
1622,0.86423063
1635,0.03307084
1652,0.27404514
1659,0.038430117
1660,0.045078084
1665,0.026916077
1686,0.49246627
1717,0.08158261
1740,0.81641406
1751,0.31324357
1758,0.22887748
1793,0.3750195
1807,0.059065573
1811,0.7032753
1812,0.040364522
1820,0.30253077
1824,0.6073548
1837,0.020054098
1842,0.51964116
1853,0.076471135
1860,0.024240052
1866,0.06695805
1869,0.041091867
1874,0.025883608
1876,0.5973003
1894,0.16557607
1898,0.03594882
1902,0.8947863
1908,0.7442086
1913,0.22219273
1921,0.7879678
1924,0.5594602
1937,0.1673195
1946,0.15323228
1949,0.6728791
1963,0.8946455
1964,0.12656693
1972,0.03862101
1978,0.7711349
1979,0.13267072
1981,0.061892252
1982,0.39881802
2013,0.17738716
2016,0.85026145
2021,0.3736327
2024,0.035683285
2036,0.08524156
2037,0.11744204
2049,0.19884714
2061,0.015559852
2081,0.12358337
2082,0.23386282
2102,0.40286583
2105,0.021473296
2114,0.8916868
2115,0.043658618
2118,0.19595852
2152,0.15218213
2153,0.21282512
2170,0.055414084
2177,0.047762934
2190,0.21508673
2203,0.43856156
2213,0.3212728
2218,0.66988593
2221,0.4417
2226,0.35259074
2246,0.118890084
2250,0.8489063
2257,0.86516
2264,0.8927534
2286,0.07267055
2294,0.023824247
2296,0.5726022
2301,0.058467194
2305,0.41969967
2319,0.018553521
2334,0.24668375
2353,0.32982287
2356,0.44324178
2398,0.7849742
2430,0.9022061
2438,0.42977107
2459,0.15786487
2463,0.8367486
2464,0.12395943
2466,0.04840987
2473,0.6315681
2474,0.08953356
2482,0.021059446
2483,0.018373262
2489,0.104581594
2514,0.22115548
2523,0.8393184
2530,0.33314312
2531,0.026596917
2535,0.87714756
2537,0.58055973
2595,0.054832473
2597,0.69044775
2632,0.03771898
2635,0.06403929
2644,0.04535138
2645,0.14639278
2672,0.02117554
2678,0.178915
2687,0.019677209
2706,0.25283128
2710,0.68143326
2715,0.5111047
2733,0.16457477
2800,0.02206704
2802,0.09455526
2805,0.19043778
2808,0.23158857
2821,0.035615075
2829,0.84280455
2841,0.053635094
2878,0.58427215
2880,0.01899206
2896,0.8659318
2902,0.4034223
2905,0.42836612
2908,0.0444242
2910,0.36378032
2927,0.4083942
2929,0.6626222
2934,0.22301614
2941,0.020034306
2958,0.054735176
2975,0.90596265
2980,0.36641866
2982,0.24023345
2988,0.862548
3002,0.052810032
3032,0.03917017
3056,0.41434205
3073,0.891024
3078,0.88247657
3087,0.5073703
3099,0.09951292
3105,0.23854743
3114,0.8813432
3127,0.024707934
3132,0.03967175
3138,0.41687042
3142,0.09426507
3148,0.049396463
3149,0.8556509
3157,0.6149272
3162,0.12631822
3174,0.8877367
3175,0.19614808
3180,0.8013377
3197,0.6489103
3199,0.12550195
3204,0.3122042
3205,0.27396274
3208,0.26729268
3221,0.1361986
3223,0.1652067
3235,0.08909316
3238,0.68754244
3259,0.07603891
3279,0.5392761
3297,0.14560768
3302,0.41864488
3310,0.021540549
3312,0.13326265
3320,0.14416023
3327,0.5476031
3332,0.49843836
3337,0.55333287
3369,0.04937532
3374,0.18596774
3375,0.03509459
3389,0.117235094
3392,0.44405288
3406,0.17612404
3441,0.040017553
3442,0.6254998
3443,0.055102162
3446,0.11769701
3449,0.03195385
3451,0.891958
3456,0.85966843
3472,0.05198109
3493,0.13780205
3503,0.66476125
3513,0.21709105
3515,0.8430413
3532,0.117389426
3553,0.091603674
3560,0.034514233
3580,0.10675873
3587,0.507199
3588,0.0477025
3603,0.38509336
3605,0.24857283
3608,0.2388202
3610,0.5408273
3615,0.2301808
3617,0.100998655
3631,0.39503473
3633,0.7602155
3636,0.18800557
3639,0.8854006
3648,0.7614779
3653,0.6244296
3655,0.8369684
3659,0.6715324
3667,0.16664766
3668,0.8685523
3671,0.89149153
3673,0.11485888
3685,0.19444108
3691,0.18796928
3700,0.13864413
3707,0.01578832
3717,0.020873006
3726,0.040514454
3736,0.89379525
3778,0.0203183
3792,0.24839115
3801,0.22886592
3844,0.72871506
3860,0.01896183
3865,0.62962914
3867,0.3193258
3877,0.12432441
3878,0.15694237
3887,0.07239153
3893,0.26829153
3908,0.56060207
3916,0.1295507
3926,0.32817012
3929,0.61946774
3932,0.07001365
3936,0.19548005
3939,0.7262881
3941,0.35145676
3954,0.036192805
3957,0.27981573
3977,0.3927045
3983,0.56154287
4001,0.08704335
4006,0.027868807
4019,0.85584986
4046,0.28786898
4051,0.03377118
4058,0.33545205
4068,0.7310842
4147,0.40289482
4152,0.03633958
4153,0.18636122
4156,0.8828498
4163,0.8950013
4165,0.88533485
4167,0.7649309
4175,0.093326084
4178,0.1587172
4190,0.055749156
4205,0.6889806
4207,0.84185934
4214,0.89318
4224,0.043718968
4252,0.045327097
4255,0.16573203
4273,0.22384143
4293,0.39326495
4299,0.2577329
4310,0.6327655
4317,0.30112916
4324,0.7102885
4348,0.8710681
4349,0.22827339
4351,0.040495005
4353,0.8913693
4355,0.1351472
4365,0.35582793
4373,0.4155103
4379,0.88052315
4391,0.7221054
4396,0.5645777
4413,0.8092397
4416,0.13995373
4429,0.028967358
4436,0.18553574
4437,0.037563313
4450,0.06629523
4454,0.14318445
4463,0.4033003
4465,0.8832718
4485,0.019888926
4488,0.36510682
4495,0.044803113
4503,0.48579428
4510,0.86389065
4523,0.3702888
4537,0.11748035
4541,0.23183967
4546,0.09351871
4547,0.037194297
4557,0.054053117
4558,0.10103786
4568,0.8895099
4571,0.44185284
4576,0.030136393
4584,0.8875864
4588,0.3293246
4595,0.81099343
4601,0.86318636
4617,0.03382126
4618,0.046181835
4624,0.8288327
4641,0.06857559
4642,0.6410764
4656,0.63867044
4661,0.019692801
4665,0.66170573
4672,0.8829045
4673,0.20011827
4674,0.15089187
4676,0.119369335
4688,0.062147915
4692,0.07733829
4695,0.18402395
4718,0.114645615
4722,0.1970639
4731,0.05853907
4760,0.3235178
4780,0.86076444
4784,0.0701738
4791,0.23449786
4798,0.24357429
4802,0.30620295
4810,0.064271994
4816,0.4370412
4820,0.030745815
4830,0.76412404
4842,0.57777065
4850,0.03398824
4871,0.3430286
4876,0.022363443
4879,0.051738482
4883,0.88243556
4886,0.4349652
4892,0.32740194
4893,0.87410784
4896,0.6290167
4900,0.09487525
4901,0.10090858
4912,0.20277633
4914,0.2946659
4929,0.13538903
