id,lightautoml_pseudo_oof
1,0.8241739
8,0.050729383
30,0.30088156
43,0.12001324
46,0.8919282
65,0.029981263
69,0.5763787
84,0.025116522
97,0.29729593
99,0.07865154
102,0.08372126
115,0.87586373
119,0.047340985
126,0.02597929
132,0.07935881
145,0.75787544
146,0.31152925
149,0.06556852
160,0.22673255
161,0.42182413
197,0.64328825
206,0.1027893
235,0.041143633
239,0.8347803
242,0.56597036
244,0.1284928
266,0.0400554
286,0.38011634
298,0.35581154
314,0.036904488
317,0.8189993
327,0.026568258
337,0.016876651
344,0.04497141
355,0.06404618
358,0.014879666
383,0.04318825
390,0.48146173
391,0.04314427
410,0.1823363
415,0.3574085
418,0.6636971
424,0.1215941
426,0.8927182
431,0.12422582
433,0.66197824
441,0.6852832
444,0.22098944
457,0.6970266
460,0.2874574
495,0.37616292
497,0.0753887
505,0.048641898
512,0.26733473
515,0.34068948
518,0.14315186
533,0.07552109
536,0.19241974
537,0.117784545
538,0.027874634
564,0.09949625
567,0.8848707
570,0.015953846
578,0.018557396
585,0.017648153
621,0.19520429
622,0.7701349
633,0.81353235
654,0.017405517
660,0.9006444
662,0.07449556
665,0.28968242
670,0.06726588
685,0.7688145
687,0.04746889
695,0.25824636
711,0.018288456
740,0.20589384
765,0.8864858
767,0.83559656
769,0.0682118
771,0.01547673
772,0.87128913
782,0.1985595
783,0.033742834
785,0.024106586
797,0.014595225
800,0.12811747
814,0.6339627
820,0.23753528
838,0.8031471
843,0.32923084
863,0.028050534
884,0.6540947
893,0.034499146
914,0.029795472
920,0.88824904
924,0.04375506
925,0.051304005
931,0.5304537
943,0.55156213
966,0.012078391
971,0.34031573
973,0.31049818
977,0.18229932
980,0.08206114
987,0.8258139
999,0.30453116
1001,0.8653061
1015,0.68929565
1018,0.08696602
1035,0.076646805
1038,0.38247272
1055,0.8330315
1066,0.3871518
1068,0.87310785
1079,0.025882851
1100,0.7658695
1102,0.27795002
1103,0.82921124
1134,0.049679514
1172,0.033628
1201,0.076440394
1210,0.6671473
1211,0.48359478
1225,0.023280352
1241,0.65329146
1245,0.027226258
1250,0.8724408
1277,0.88881546
1283,0.8602177
1290,0.25839955
1297,0.03594205
1300,0.4870156
1321,0.070753604
1326,0.74512506
1361,0.024488503
1363,0.41760632
1374,0.11163867
1390,0.9165446
1392,0.30721855
1405,0.7107016
1411,0.32397193
1417,0.019936796
1442,0.031430196
1464,0.76422465
1507,0.12092665
1520,0.5440921
1522,0.6778512
1544,0.050268613
1564,0.19941232
1572,0.0790177
1625,0.17252792
1628,0.32037896
1647,0.06630833
1651,0.16987073
1658,0.046699546
1670,0.08745783
1684,0.041524395
1702,0.09652377
1719,0.014732639
1731,0.033601284
1732,0.10250007
1739,0.2396236
1750,0.4485758
1759,0.87085
1774,0.89196765
1797,0.1543448
1803,0.89218867
1826,0.2878907
1831,0.36367285
1880,0.021327332
1884,0.82386607
1887,0.020919586
1890,0.015913706
1895,0.032540336
1909,0.017268889
1919,0.2511255
1931,0.633376
1939,0.5243575
1950,0.053643942
1952,0.04579648
1959,0.11661957
1961,0.18697524
1987,0.090507746
1992,0.016642228
1999,0.7854472
2010,0.013862552
2029,0.45559537
2031,0.4516982
2079,0.678356
2085,0.54938173
2087,0.66919345
2092,0.33297285
2108,0.64218765
2121,0.04633043
2122,0.8065779
2123,0.025288831
2131,0.0292248
2144,0.580278
2158,0.2321254
2164,0.032385625
2176,0.60669243
2189,0.2296858
2201,0.079300955
2212,0.018206617
2224,0.6793537
2232,0.057945833
2237,0.79927754
2254,0.093391955
2256,0.45655712
2271,0.41791555
2275,0.023109214
2290,0.06573292
2297,0.12735187
2317,0.10573985
2330,0.07307831
2331,0.91099507
2345,0.6507518
2355,0.016126093
2390,0.08349238
2402,0.82973135
2419,0.06932393
2421,0.035108153
2435,0.21198928
2441,0.09495049
2453,0.019418228
2480,0.076315686
2500,0.834124
2501,0.7019127
2512,0.32626233
2517,0.019256677
2545,0.053174634
2559,0.87157714
2571,0.05131834
2577,0.6644331
2579,0.3370043
2602,0.7122397
2616,0.37772083
2639,0.4847938
2649,0.4520608
2660,0.13251054
2675,0.9083119
2692,0.5386597
2699,0.049014986
2707,0.019643666
2726,0.11735295
2730,0.019091357
2742,0.86373913
2750,0.7602993
2752,0.018393783
2759,0.24040069
2761,0.095858224
2762,0.29230675
2775,0.017047018
2788,0.026830431
2825,0.016199172
2834,0.04020229
2840,0.5056071
2849,0.9050123
2857,0.60207057
2889,0.045857448
2890,0.23130627
2895,0.873275
2907,0.12380684
2920,0.62866485
2922,0.23349898
2931,0.20267767
2936,0.02098402
2938,0.69145894
2949,0.90225667
2955,0.24365549
2968,0.025825873
2985,0.6684726
2987,0.744218
3009,0.13031776
3016,0.9002623
3031,0.65924585
3053,0.6590582
3060,0.8454735
3070,0.03634668
3071,0.5526403
3076,0.2383145
