id,stck2_oof
1,1
8,0
30,0
43,0
46,1
65,0
69,1
84,0
97,0
99,0
102,0
115,1
119,0
126,0
132,0
145,1
146,0
149,0
160,0
161,1
197,1
206,0
235,0
239,1
242,1
244,0
266,0
286,1
298,1
314,0
317,1
327,0
337,0
344,0
355,0
358,0
383,0
390,1
391,0
410,0
415,1
418,1
424,0
426,1
431,0
433,1
441,1
444,0
457,1
460,0
495,1
497,0
505,0
512,0
515,1
518,0
533,0
536,0
537,0
538,0
564,0
567,1
570,0
578,0
585,0
621,0
622,1
633,1
654,0
660,1
662,0
665,1
670,0
685,1
687,0
695,0
711,0
740,0
765,1
767,1
769,0
771,0
772,1
782,0
783,0
785,0
797,0
800,0
814,1
820,0
838,1
843,0
863,0
884,1
893,0
914,0
920,1
924,0
925,0
931,1
943,1
966,0
971,1
973,0
977,0
980,0
987,1
999,0
1001,1
1015,1
1018,0
1035,0
1038,1
1055,1
1066,1
1068,1
1079,0
1100,1
1102,0
1103,1
1134,0
1172,0
1201,0
1210,1
1211,1
1225,0
1241,1
1245,0
1250,1
1277,1
1283,1
1290,0
1297,0
1300,1
1321,0
1326,1
1361,0
1363,1
1374,0
1390,1
1392,0
1405,1
1411,0
1417,0
1442,0
1464,1
1507,0
1520,1
1522,1
1544,0
1564,0
1572,0
1625,0
1628,0
1647,0
1651,0
1658,0
1670,0
1684,0
1702,0
1719,0
1731,0
1732,0
1739,0
1750,1
1759,1
1774,1
1797,0
1803,1
1826,0
1831,1
1880,0
1884,1
1887,0
1890,0
1895,0
1909,0
1919,0
1931,1
1939,1
1950,0
1952,0
1959,0
1961,0
1987,0
1992,0
1999,1
2010,0
2029,1
2031,1
2079,1
2085,1
2087,1
2092,0
2108,1
2121,0
2122,1
2123,0
2131,0
2144,1
2158,0
2164,0
2176,1
2189,0
2201,0
2212,0
2224,1
2232,0
2237,1
2254,0
2256,1
2271,1
2275,0
2290,0
2297,0
2317,0
2330,0
2331,1
2345,1
2355,0
2390,0
2402,1
2419,0
2421,0
2435,0
2441,0
2453,0
2480,0
2500,1
2501,1
2512,0
2517,0
2545,0
2559,1
2571,0
2577,1
2579,0
2602,1
2616,1
2639,1
2649,1
2660,0
2675,1
2692,1
2699,0
2707,0
2726,0
2730,0
2742,1
2750,1
2752,0
2759,0
2761,0
2762,0
2775,0
2788,0
2825,0
2834,0
2840,1
2849,1
2857,1
2889,0
2890,0
2895,1
2907,0
2920,1
2922,0
2931,0
2936,0
2938,1
2949,1
2955,0
2968,0
2985,1
2987,1
3009,0
3016,1
3031,1
3053,1
3060,1
3070,0
3071,1
3076,0
3092,0
3101,0
3123,1
3126,0
3146,0
3147,1
3168,1
3171,0
3190,0
3192,0
3195,0
3202,0
3217,0
3251,0
3263,0
3269,0
3295,0
3300,0
3321,1
3326,1
3331,0
3339,0
3356,0
3357,0
3363,0
3370,0
3422,0
3437,0
3438,0
3464,0
3485,0
3489,1
3494,0
3520,1
3527,1
3529,1
3543,1
3549,0
3552,0
3563,1
3567,1
3581,0
3599,1
3621,0
3644,1
3657,0
3661,0
3669,0
3709,0
3712,0
3721,1
3738,0
3756,0
3769,0
3811,1
3815,0
3818,1
3822,1
3827,0
3840,0
3845,1
3854,0
3881,1
3918,0
3934,0
3937,0
3947,1
3960,0
3974,1
4000,1
4018,1
4022,1
4052,1
4053,0
4056,1
4072,0
4086,0
4089,1
4091,0
4109,1
4115,0
4127,0
4137,0
4141,1
4144,1
4161,0
4168,1
4191,1
4211,0
4212,0
4231,0
4237,0
4246,0
4261,0
4268,1
4289,0
4303,0
4327,0
4329,1
4341,1
4346,0
4360,0
4363,1
4415,0
4447,1
4457,1
4458,1
4460,0
4464,0
4476,1
4481,0
4482,0
4502,0
4542,0
4545,0
4555,1
4556,0
4575,1
4605,1
4608,0
4614,0
4623,1
4631,1
4632,0
4634,0
4644,1
4679,1
4681,1
4683,0
4705,0
4730,1
4734,0
4755,0
4776,0
4795,0
4824,1
4870,0
4890,0
4924,1
4928,1
4945,0
4948,0
4962,1
5000,0
5022,0
5023,0
5037,1
5050,0
5066,1
5069,1
5071,0
5073,1
5088,1
5175,0
5203,0
5230,0
5272,0
5317,0
5332,1
5351,1
5371,0
5384,1
5388,1
5394,1
5402,0
5417,0
5442,1
5456,1
5461,1
5466,0
5468,0
5471,1
5480,1
5513,1
5519,0
5530,0
5534,1
5544,0
5545,1
5553,0
5573,1
5596,0
5614,1
5628,0
5640,1
5677,0
5686,0
5690,0
5692,1
5695,0
5705,0
5709,1
5715,1
5718,1
5721,0
5729,0
5733,1
5737,0
5758,0
5785,0
5791,0
5796,0
5797,0
5802,0
5805,0
5806,0
5808,0
5809,0
5816,0
5817,0
5822,0
5859,1
5874,1
5895,1
5955,0
5964,1
5966,1
5980,0
5986,0
5993,1
6005,1
6007,0
6013,1
6025,0
6030,0
6054,1
6058,1
6064,0
6076,0
6096,1
6121,1
6127,0
6155,1
6179,1
6181,0
6186,0
6196,0
6200,1
6206,0
6231,0
6276,0
6287,1
6298,0
6307,1
6308,1
6333,0
6372,0
6381,1
6388,1
6389,0
6408,0
6415,1
6433,1
6440,1
6448,0
6471,0
6481,0
6485,1
6494,0
6501,0
6505,1
6518,0
6535,1
6541,0
6549,1
6552,0
6575,1
6593,0
6627,0
6638,0
6645,0
6680,1
6688,0
6690,1
6691,1
6706,0
6708,0
6722,0
6734,0
6737,0
6741,0
6752,1
6756,0
6773,1
6782,0
6784,1
6815,0
6845,0
6879,0
6897,1
6908,0
6909,1
6911,0
6941,1
6950,0
6967,0
6983,1
6985,0
7006,0
7012,0
7027,0
7029,0
7030,0
7043,0
7044,0
7061,0
7105,0
7108,1
7124,0
7149,0
7158,1
7172,0
7182,0
7188,0
7193,0
7200,0
7202,0
7206,0
7209,1
7211,1
7220,0
7244,1
7263,0
7310,0
7329,1
7372,1
7400,0
7446,1
7451,0
7470,1
7474,0
7513,0
7520,1
7525,0
7534,0
7542,1
7550,0
7576,1
7578,0
7584,0
7585,0
7596,1
7602,0
7649,0
7665,1
7699,0
7727,1
7731,1
7733,1
7751,1
7769,0
7836,0
7870,0
7904,0
7916,1
